File Name,Tan Shift,Sag Shift,Long_0.4861,Long_0.5876,Long_0.6563,Poly,RMS_0.4861,RMS_0.5876,RMS_0.6563,Rel. Ill,Effective F/#
JP2008-145584_Example01P_LensData_21.6_2_200,0.11011096,0.11011096,0.11011132,0.018283353,0.12449396,1.3664277,1.7740912,0.15136026,1.5591872,1.0,2.1463891
JP2011-048232_Example03P_LensData_10.8_2.8_45,0.049390012,0.049390012,0.04939128,-0.00063101238,0.014135888,,,,,1.0,3.0331253
JP2011-170128_Example05P_LensData_21.6_1.4_85,-0.067758592,-0.067758592,-0.067758766,0.0020377361,0.075624633,1.7513375,2.6192283,0.55236273,1.4269152,1.0,1.5269419
JP2011-248340_Example01P_LensData_8.2_2.8_10,-0.0053189645,-0.0053189645,-0.0053182594,0.004436749,0.019983081,0.080210185,0.07574853,0.022532463,0.11426053,1.0,3.0571283
JP2012-159613_Example01P_LensData_14.2_3.5_30,0.011525332,0.011525332,0.011523828,0.019839573,0.057043321,,,,,1.0,3.7641535
JP2012-234169_Example01P_LensData_14.2_2.8_30,-0.027754447,-0.027754447,-0.02775916,0.00022880856,0.031525209,0.57925687,0.84782546,0.48776885,0.22335866,1.0,3.0349223
JP2012-242690_Example02P_LensData_14.2_1.8_50,-0.024415164,-0.024415164,-0.024415649,0.045618718,0.10454355,0.72195494,0.57013589,0.31010613,1.068848,1.0,1.9411858
JP2013-003324_Example02P_LensData_10.8_1.4_25,-0.018132357,-0.018132357,-0.01812967,0.0017366911,0.030267226,0.65732645,0.69621455,0.082060113,0.89709845,1.0,1.5168064
JP2013-054269_Example01P_LensData_21.6_2.8_28,-0.075463512,-0.075463512,-0.075460522,-0.0083311198,0.049034209,0.44845002,0.70285914,0.30663347,0.12364144,0.99471373,3.0317278
JP2013-104994_Example02P_LensData_21.6_2.8_180,0.07875286,0.07875286,0.078752537,0.002964065,0.087331603,0.52642631,0.60336346,0.079613104,0.67896116,1.0,3.0581605
JP2013-161076_Example01P_LensData_10.8_1.8_75,-0.032615932,-0.032615932,-0.032614463,-0.00067653902,0.061197171,0.57991306,0.21746082,0.057496382,0.97892922,1.0,1.8717932
JP2013-250290_Example01TCP_LensData_21.6_9_975,0.0044983898,0.0044983898,0.0044989737,-0.012244516,-0.029525946,0.010733452,0.01441546,0.0022606308,0.011519768,1.0,9.4665477
JP2014-026184_Example04P_LensData_14.2_1.8_50,-0.086770638,-0.086770638,-0.086775946,-0.0015695881,0.068494246,2.2947065,3.3930996,1.9201357,0.77264982,1.0,1.8932653
JP2014-048488_Example03P_LensData_21.6_1.4_35,-0.013759679,-0.013759679,,,,,,,,1.0,1.5184763
JP2014-142520_Example01P_LensData_14.2_1.4_30,-0.039189976,-0.039189976,-0.039189027,3.1913119e-05,0.048145011,,,,,1.0,1.530825
